Frecuencia,Conteo
1,118385710
2,1331020
3,355578
4,164957
5,96366
6,63242
7,44794
8,32924
9,25069
10,19853
11,16146
12,12815
13,10573
14,8938
15,7366
16,6345
17,5528
18,4996
19,4280
20,3895
21,3409
22,2964
23,2720
24,2427
25,2300
26,2020
27,1926
28,1705
29,1648
30,1525
31,1448
32,1304
33,1229
34,1043
35,1025
36,945
37,943
38,934
39,853
40,800
41,794
42,739
43,725
44,722
45,683
46,637
47,659
48,674
49,646
50,649
51,558
52,511
53,506
54,477
55,404
56,365
57,441
58,400
59,336
60,358
61,342
62,345
63,326
64,316
65,343
66,350
67,293
68,304
69,336
70,285
71,269
72,271
73,294
74,249
75,261
76,263
77,228
78,217
79,251
80,210
81,196
82,185
83,191
84,172
85,188
86,202
87,176
88,214
89,172
90,174
91,163
92,162
93,162
94,150
95,161
96,198
97,163
98,185
99,160
100,157
101,149
102,129
103,147
104,118
105,132
106,134
107,132
108,110
109,120
110,106
111,114
112,101
113,93
114,121
115,110
116,97
117,110
118,111
119,129
120,116
121,114
122,101
123,89
124,105
125,109
126,100
127,118
128,120
129,103
130,94
131,110
132,109
133,97
134,83
135,92
136,92
137,78
138,62
139,81
140,100
141,83
142,84
143,64
144,71
145,95
146,104
147,77
148,82
149,63
150,78
151,78
152,82
153,71
154,71
155,69
156,72
157,72
158,80
159,65
160,71
161,57
162,60
163,56
164,54
165,47
166,69
167,58
168,58
169,52
170,52
171,46
172,59
173,65
174,56
175,49
176,46
177,38
178,51
179,52
180,42
181,48
182,41
183,48
184,46
185,49
186,48
187,47
188,32
189,42
190,49
191,45
192,40
193,40
194,40
195,36
196,55
197,36
198,53
199,44
200,44
201,48
202,46
203,53
204,44
205,31
206,22
207,31
208,47
209,35
210,40
211,40
212,46
213,43
214,45
215,35
216,29
217,35
218,24
219,34
220,36
221,30
222,33
223,29
224,32
225,35
226,33
227,18
228,32
229,36
230,30
231,33
232,25
233,33
234,33
235,30
236,27
237,37
238,29
239,28
240,30
241,16
242,33
243,22
244,27
245,27
246,18
247,33
248,27
249,24
250,30
251,27
252,22
253,28
254,22
255,38
256,26
257,25
258,28
259,32
260,29
261,34
262,21
263,45
264,24
265,34
266,24
267,35
268,28
269,21
270,27
271,27
272,24
273,21
274,20
275,21
276,22
277,22
278,20
279,23
280,19
281,26
282,23
283,21
284,17
285,18
286,19
287,24
288,21
289,10
290,14
291,23
292,15
293,14
294,13
295,10
296,11
297,13
298,12
299,8
300,17
301,13
302,7
303,10
304,7
305,13
306,5
307,15
308,9
309,14
310,16
311,12
312,8
313,11
314,10
315,15
316,13
317,18
318,13
319,12
320,19
321,11
322,11
323,12
324,15
325,17
326,16
327,7
328,21
329,13
330,17
331,22
332,15
333,9
334,19
335,12
336,10
337,13
338,13
339,14
340,20
341,14
342,8
343,10
344,7
345,17
346,12
347,13
348,12
349,15
350,10
351,15
352,16
353,6
354,9
355,14
356,18
357,12
358,14
359,9
360,16
361,15
362,13
363,7
364,5
365,14
366,9
367,14
368,14
369,11
370,14
371,10
372,5
373,11
374,8
375,12
376,9
377,8
378,9
379,8
380,13
381,8
382,7
383,8
384,8
385,15
386,10
387,6
388,4
389,8
390,13
391,5
392,9
393,5
394,5
395,5
396,7
397,11
398,8
399,7
400,11
401,8
402,7
403,6
404,6
405,14
406,2
407,8
408,6
409,13
410,10
411,12
412,7
413,9
414,9
415,7
416,3
417,5
418,8
419,2
420,8
421,12
422,6
423,6
424,8
425,4
426,1
427,9
428,5
429,5
430,3
431,6
432,6
433,3
434,4
435,8
436,4
437,3
438,10
439,8
440,6
441,5
442,4
443,9
444,8
445,7
446,4
447,5
448,8
449,6
450,6
451,4
452,3
453,5
454,3
455,4
456,11
457,5
458,7
459,1
460,3
461,5
462,4
463,6
464,8
465,7
466,3
467,6
468,7
469,5
470,7
471,4
472,7
473,5
474,6
475,4
476,6
477,2
478,3
479,4
480,5
481,5
482,4
483,1
484,4
485,2
486,3
487,6
488,5
489,7
490,6
492,8
493,5
494,6
495,7
496,5
497,3
498,5
499,4
500,4
501,5
502,3
503,7
504,3
505,4
506,3
507,6
508,4
509,5
510,5
511,8
512,7
513,6
514,8
515,3
516,5
517,5
518,6
519,1
520,6
521,4
522,2
523,4
524,1
525,4
526,3
528,5
529,3
530,1
531,3
532,5
533,3
534,1
535,5
536,5
537,7
538,4
539,4
540,4
541,1
542,3
543,6
544,3
545,1
546,1
547,1
548,1
549,4
550,1
551,2
552,1
553,3
554,5
555,2
556,2
557,1
558,4
559,6
560,4
561,3
562,2
563,2
564,6
565,3
566,6
567,2
568,2
569,7
570,4
571,4
572,6
573,2
574,2
575,4
576,2
577,3
578,3
580,1
581,2
582,5
583,5
584,1
585,1
586,3
587,3
588,1
589,1
590,5
591,1
592,2
593,1
594,2
595,3
596,8
597,3
598,4
600,6
601,7
602,4
603,1
605,3
606,5
607,2
608,3
609,3
610,2
611,2
612,4
613,2
614,3
615,1
616,2
617,1
618,3
619,5
620,3
621,1
622,1
623,1
624,2
625,2
627,4
628,3
629,3
631,1
632,2
633,3
635,2
636,2
637,1
638,4
639,1
640,1
641,2
642,3
643,3
644,1
645,2
646,3
647,1
648,2
649,1
650,3
652,1
653,1
654,3
655,5
656,2
657,2
658,3
659,3
660,6
661,2
662,2
663,3
665,3
667,2
669,2
670,3
671,2
672,2
673,2
674,3
677,2
679,1
681,2
682,1
683,2
684,3
685,3
686,3
687,2
688,4
689,1
690,1
691,1
692,1
693,2
694,1
697,2
698,3
699,2
700,2
702,3
703,1
705,1
706,4
708,2
709,1
710,2
713,2
715,1
716,2
717,1
718,1
720,3
724,2
725,1
726,3
727,1
728,2
731,1
733,2
734,1
735,2
736,4
737,2
738,1
740,1
742,3
743,2
744,3
745,1
746,2
747,3
748,1
750,3
751,4
752,2
755,2
756,1
757,2
759,3
760,1
761,3
762,4
764,2
765,2
766,2
767,2
769,2
770,3
771,8
