Frecuencia,Conteo
1,14710432
2,2017018
3,406607
4,385605
5,33120
6,26928
7,24737
8,17374
9,14283
10,6255
11,3881
12,4445
13,1839
14,1454
15,1262
16,1686
17,980
18,770
19,845
20,758
21,795
22,785
23,696
24,899
25,911
26,1154
27,1068
28,901
29,282
30,298
31,367
32,281
33,276
34,269
35,241
36,287
37,219
38,262
39,237
40,341
41,308
42,588
43,689
44,514
45,616
46,1479
47,1109
48,467
49,199
50,163
51,118
52,125
53,120
54,97
55,93
56,86
57,85
58,86
59,93
60,81
61,55
62,68
63,41
64,43
65,55
66,43
67,39
68,41
69,48
70,66
71,52
72,58
73,90
74,73
75,60
76,86
77,62
78,73
79,58
80,55
81,56
82,69
83,48
84,57
85,46
86,47
87,45
88,48
89,44
90,41
91,51
92,39
93,38
94,40
95,52
96,39
97,41
98,45
99,47
100,31
101,32
102,34
103,41
104,36
105,30
106,27
107,30
108,37
109,33
110,37
111,30
112,33
113,18
114,17
115,15
116,20
117,15
118,21
119,18
120,25
121,19
122,29
123,14
124,21
125,26
126,21
127,20
128,16
129,29
130,15
131,26
132,19
133,18
134,22
135,15
136,23
137,16
138,9
139,15
140,21
141,17
142,15
143,14
144,23
145,17
146,14
147,8
148,15
149,12
150,17
151,19
152,12
153,11
154,7
155,17
156,10
157,11
158,11
159,9
160,9
161,7
162,5
163,3
164,7
165,12
166,3
167,4
168,1
169,4
170,4
171,4
172,5
173,5
174,3
175,3
176,6
177,2
178,10
179,7
180,9
181,11
182,6
183,9
184,8
185,10
186,9
187,2
188,14
189,4
190,5
191,6
192,9
193,6
194,9
195,4
196,6
197,3
198,3
199,2
200,5
201,3
202,3
203,3
204,2
205,2
206,2
207,1
209,1
210,2
211,3
212,6
213,1
214,3
217,1
218,1
219,2
220,3
228,1
230,2
234,1
237,1
239,3
240,2
242,1
243,2
244,3
245,1
246,1
247,1
248,2
249,1
250,1
251,4
252,2
255,2
256,2
258,4
262,1
265,1
266,1
267,1
269,1
271,1
273,2
274,1
276,1
277,1
279,1
281,2
282,1
283,2
285,1
286,1
287,1
288,2
290,3
291,4
292,1
293,1
294,1
295,1
296,2
297,2
299,1
303,1
304,3
306,1
310,1
313,1
315,2
320,1
321,1
325,1
327,1
328,1
334,1
339,2
342,1
343,1
345,1
350,2
352,1
355,1
356,1
358,1
363,1
367,1
373,1
387,1
391,1
415,1
422,1
423,1
430,1
437,1
438,1
440,1
441,1
444,1
447,1
449,1
450,1
454,1
463,1
469,1
470,1
473,1
476,2
479,1
485,2
489,1
493,1
512,1
513,1
769,1
773,1
783,1
787,1
983,1
1052,1
1191,1
1209,1
1490,1
1516,1
1523,1
1546,1
1573,1
